Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Marble Hill,40.87655077879964,-73.91065965862981,Arturo's,40.87441177110231,-73.91027100981574,Pizza Place
Marble Hill,40.87655077879964,-73.91065965862981,Bikram Yoga,40.876843690797934,-73.90620384419528,Yoga Studio
Marble Hill,40.87655077879964,-73.91065965862981,Tibbett Diner,40.8804044222466,-73.90893738006402,Diner
Marble Hill,40.87655077879964,-73.91065965862981,Starbucks,40.87753134921497,-73.90558216359267,Coffee Shop
Marble Hill,40.87655077879964,-73.91065965862981,Dunkin',40.87713584201589,-73.90666550701411,Donut Shop
Marble Hill,40.87655077879964,-73.91065965862981,Astral Fitness & Wellness Center,40.87670526507199,-73.90637207670373,Gym
Marble Hill,40.87655077879964,-73.91065965862981,Rite Aid,40.875466574434704,-73.90890629016033,Pharmacy
Marble Hill,40.87655077879964,-73.91065965862981,TCR The Club of Riverdale,40.8786283,-73.9145678,Tennis Stadium
Marble Hill,40.87655077879964,-73.91065965862981,Blink Fitness,40.877271495944626,-73.90559491338075,Gym
Marble Hill,40.87655077879964,-73.91065965862981,Starbucks,40.873754554218515,-73.90861305343668,Coffee Shop
Marble Hill,40.87655077879964,-73.91065965862981,T.J. Maxx,40.87723198343352,-73.90504239962168,Department Store
Marble Hill,40.87655077879964,-73.91065965862981,Lot Less Closeouts,40.878270422202085,-73.9052646742604,Discount Store
Marble Hill,40.87655077879964,-73.91065965862981,Vitamin Shoppe,40.87716,-73.905632,Supplement Shop
Marble Hill,40.87655077879964,-73.91065965862981,Land & Sea Restaurant,40.87788463309788,-73.90587282193539,Seafood Restaurant
Marble Hill,40.87655077879964,-73.91065965862981,Subway,40.8746665302951,-73.9095858429637,Sandwich Place
Marble Hill,40.87655077879964,-73.91065965862981,Baskin-Robbins,40.87714929478882,-73.90665810372622,Ice Cream Shop
Marble Hill,40.87655077879964,-73.91065965862981,GameStop,40.874266802124836,-73.90934218062803,Video Game Store
Marble Hill,40.87655077879964,-73.91065965862981,Five Below,40.8772564,-73.9049384,Miscellaneous Shop
Marble Hill,40.87655077879964,-73.91065965862981,Subway,40.878464979323944,-73.9055176422437,Sandwich Place
Marble Hill,40.87655077879964,-73.91065965862981,Parrilla Latina,40.87747294351472,-73.90607346968568,Steakhouse
Marble Hill,40.87655077879964,-73.91065965862981,The Children's Place,40.873671591133125,-73.90815619608166,Kids Store
Marble Hill,40.87655077879964,-73.91065965862981,Target,40.873437410462145,-73.90772557370363,Big Box Store
Marble Hill,40.87655077879964,-73.91065965862981,Broadway Plaza,40.87753906779665,-73.90539578168178,Shopping Mall
Marble Hill,40.87655077879964,-73.91065965862981,Terrace View Delicatessen,40.875995,-73.913151,Deli / Bodega
Chinatown,40.71561842231432,-73.99427936255978,Cheeky Sandwiches,40.715821,-73.99183,Sandwich Place
Chinatown,40.71561842231432,-73.99427936255978,Hotel 50 Bowery NYC,40.7159364,-73.9967894,Hotel
Chinatown,40.71561842231432,-73.99427936255978,Kiki's,40.714476082876864,-73.99203609673215,Greek Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Scarr's Pizza,40.715335008813696,-73.99164900167455,Pizza Place
Chinatown,40.71561842231432,-73.99427936255978,Spicy Village,40.71701,-73.99353,Chinese Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Bar Belly,40.71513492837161,-73.99180174375184,Cocktail Bar
Chinatown,40.71561842231432,-73.99427936255978,Regina's Grocery,40.71545271972335,-73.99162066038105,Sandwich Place
Chinatown,40.71561842231432,-73.99427936255978,Renew Day Spa,40.715559,-73.996747,Spa
Chinatown,40.71561842231432,-73.99427936255978,Wah Fung Number 1 Fast Food 華豐快餐店,40.71727831655619,-73.99417731304892,Chinese Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Michaeli Bakery,40.71470398399014,-73.99184703826903,Bakery
Chinatown,40.71561842231432,-73.99427936255978,GoGreen Organic Spa,40.717014,-73.995847,Spa
Chinatown,40.71561842231432,-73.99427936255978,Xi'an Famous Foods,40.715231941715004,-73.99726288220869,Chinese Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Dimes,40.71483045349728,-73.99171854350031,American Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Forgtmenot,40.714458761321595,-73.9915463794752,New American Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Yaya Tea Garden,40.71617656047733,-73.99490199219241,Tea Room
Chinatown,40.71561842231432,-73.99427936255978,Da Yu Hot Pot 大渝火锅,40.716735,-73.995752,Hotpot Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Metrograph,40.714998539086416,-73.99103539533131,Indie Movie Theater
Chinatown,40.71561842231432,-73.99427936255978,Cervo's,40.714762540056384,-73.99145547895715,Spanish Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Sam's Fried Ice Cream,40.715814082261154,-73.99145645060749,Ice Cream Shop
Chinatown,40.71561842231432,-73.99427936255978,Sky Ting Yoga,40.715352,-73.992666,Yoga Studio
Chinatown,40.71561842231432,-73.99427936255978,The Crown,40.7159596120117,-73.99671727688867,Roof Deck
Chinatown,40.71561842231432,-73.99427936255978,Teado,40.71718422928588,-73.9948832988739,Bubble Tea Shop
Chinatown,40.71561842231432,-73.99427936255978,Museum at Eldridge Street,40.714724,-73.993497,Museum
Chinatown,40.71561842231432,-73.99427936255978,Ling Kee,40.714713,-73.991538,Asian Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Super Taste (百味蘭州拉面) (Super Taste),40.71519757566773,-73.99351118851398,Noodle House
Chinatown,40.71561842231432,-73.99427936255978,Off The Bridge,40.715622403162904,-73.99423665033953,Bike Shop
Chinatown,40.71561842231432,-73.99427936255978,WOON,40.71608055070792,-73.99168134841135,Salon / Barbershop
Chinatown,40.71561842231432,-73.99427936255978,Lan Zhou Handmade Noodle & Dumpling,40.71554266411927,-73.99674213744805,Noodle House
Chinatown,40.71561842231432,-73.99427936255978,Chop Suey Club,40.716192,-73.991359,Boutique
Chinatown,40.71561842231432,-73.99427936255978,Coming Soon,40.715737982481315,-73.99144123696131,Furniture / Home Store
Chinatown,40.71561842231432,-73.99427936255978,Wayla,40.7182908437571,-73.99258397519588,Thai Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Chinatown Soup,40.71518422476716,-73.99171537302827,Historic Site
Chinatown,40.71561842231432,-73.99427936255978,La Petite Mort,40.715906,-73.991515,Boutique
Chinatown,40.71561842231432,-73.99427936255978,Bêp Gà,40.71722588360544,-73.99382603830483,Vietnamese Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Fong On,40.714165,-73.9937,Dessert Shop
Chinatown,40.71561842231432,-73.99427936255978,Mian Tian Sing Hair Salon,40.716630177497784,-73.99732784630237,Salon / Barbershop
Chinatown,40.71561842231432,-73.99427936255978,The Commissary,40.715004192130635,-73.99100963130398,American Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Sofar HQ,40.71352253397576,-73.99628875186677,Music Venue
Chinatown,40.71561842231432,-73.99427936255978,The Original Chinatown Ice Cream Factory,40.71552144597581,-73.99814520882326,Ice Cream Shop
Chinatown,40.71561842231432,-73.99427936255978,l'estudio,40.71571997526929,-73.99033245121464,American Restaurant
Chinatown,40.71561842231432,-73.99427936255978,oo35mm.com,40.716604729318206,-73.99789000508754,Cosmetics Shop
Chinatown,40.71561842231432,-73.99427936255978,Yi Ji Shi Mo Noodle Corp,40.7182541242483,-73.99593030303214,Chinese Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Simple,40.71814514203096,-73.99198775758143,Asian Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Hong Kong Supermarket 香港超級市場 (Hong Kong Supermarket),40.717595732385966,-73.99617253722293,Supermarket
Chinatown,40.71561842231432,-73.99427936255978,Bacaro,40.714467897557796,-73.9915893664933,Italian Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Little Canal,40.714317,-73.990361,Coffee Shop
Chinatown,40.71561842231432,-73.99427936255978,Dimes Deli,40.71459195873029,-73.99081729031317,Organic Grocery
Chinatown,40.71561842231432,-73.99427936255978,New Malaysia,40.71578686130709,-73.9969050590344,Malay Restaurant
Chinatown,40.71561842231432,-73.99427936255978,V One Salon,40.714713401536464,-73.99759144308398,Salon / Barbershop
Chinatown,40.71561842231432,-73.99427936255978,Apothéke,40.71446997055456,-73.99801834428807,Cocktail Bar
Chinatown,40.71561842231432,-73.99427936255978,Golden Diner,40.71245135327847,-73.99421274662018,Diner
Chinatown,40.71561842231432,-73.99427936255978,Malaysia Beef Jerky,40.71852709684469,-73.99582403497948,Snack Place
Chinatown,40.71561842231432,-73.99427936255978,iLook,40.716163255085476,-73.99815860374045,Optical Shop
Chinatown,40.71561842231432,-73.99427936255978,Great N.Y. Noodletown,40.715039001656855,-73.99694075378208,Chinese Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Nam Son Vietnamese Restaurant,40.718214526047454,-73.99434463491643,Vietnamese Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Zu Yuan Spa,40.715468729173686,-73.9986270534065,Spa
Chinatown,40.71561842231432,-73.99427936255978,Reception Bar,40.7163598,-73.9913564,Cocktail Bar
Chinatown,40.71561842231432,-73.99427936255978,Factory Tamal,40.71587612490716,-73.99046733643608,Mexican Restaurant
Chinatown,40.71561842231432,-73.99427936255978,99 Favor Taste 99號餐廳,40.71756,-73.99258,Hotpot Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Pho Vietnam,40.7175304403123,-73.99412803138348,Vietnamese Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Kung Fu Tea (功夫茶),40.717118904809354,-73.9945616,Bubble Tea Shop
Chinatown,40.71561842231432,-73.99427936255978,Joy's Flowers & Gifts,40.71560293093889,-73.9899371418026,Gift Shop
Chinatown,40.71561842231432,-73.99427936255978,Phở Grand,40.71782396789147,-73.99280072371246,Vietnamese Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Peachy's,40.71445204430717,-73.99799106067414,Cocktail Bar
Chinatown,40.71561842231432,-73.99427936255978,Kopitiam,40.71397394589247,-73.9908676845466,Malay Restaurant
Chinatown,40.71561842231432,-73.99427936255978,CW Pencil Enterprise,40.71758268630868,-73.99066150188446,Paper / Office Supplies Store
Chinatown,40.71561842231432,-73.99427936255978,Jing Fong Restaurant 金豐大酒樓,40.7158812029412,-73.99720861552515,Dim Sum Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Taiwan Pork Chop House 臺灣武昌好味道,40.71436751328666,-73.99786861896594,Taiwanese Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Anna Sheffield Jewelry,40.716406334324105,-73.99113082791186,Jewelry Store
Chinatown,40.71561842231432,-73.99427936255978,House Special 甘來飯店,40.7178008638246,-73.99684623787122,Chinese Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Hwa Yuan,40.713618266530226,-73.99597818966741,Chinese Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Joe's Shanghai 鹿嗚春,40.71566097685305,-73.99669268189086,Shanghai Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Fay Da Bakery,40.71676493044495,-73.99787389276216,Bakery
Chinatown,40.71561842231432,-73.99427936255978,Big Wong King 大旺,40.71619620821637,-73.99830311536789,Chinese Restaurant
Chinatown,40.71561842231432,-73.99427936255978,H Optics,40.7177568898041,-73.99044147871669,Optical Shop
Chinatown,40.71561842231432,-73.99427936255978,Mr. Fong's,40.71234870755251,-73.99429476756772,Cocktail Bar
Chinatown,40.71561842231432,-73.99427936255978,Cafe Grumpy,40.71506878269568,-73.98995222774947,Coffee Shop
Chinatown,40.71561842231432,-73.99427936255978,Las’ Lap,40.717690463104404,-73.99043516357852,Bar
Chinatown,40.71561842231432,-73.99427936255978,Cafe Katja,40.71772249773717,-73.9904973426323,Austrian Restaurant
Chinatown,40.71561842231432,-73.99427936255978,JaJaJa Plantas Mexicana,40.714197627245426,-73.9901568736444,Mexican Restaurant
Chinatown,40.71561842231432,-73.99427936255978,MooShoes NYC,40.71786084384097,-73.99037749508857,Shoe Store
Chinatown,40.71561842231432,-73.99427936255978,Vanessa's Dumpling House,40.718316255518644,-73.99188498001898,Dumpling Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Nom Wah Tea Parlor,40.714512,-73.998235,Dim Sum Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Eye Solutions,40.7149274142558,-73.9987735799202,Optical Shop
Chinatown,40.71561842231432,-73.99427936255978,Orchard Grocer,40.71784735323789,-73.99035763050085,Vegetarian / Vegan Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Stanley's Pharmacy,40.7157817455398,-73.99054400644904,Pharmacy
Chinatown,40.71561842231432,-73.99427936255978,La Bella Ferrara,40.71744962394581,-73.99837323694786,Bakery
Chinatown,40.71561842231432,-73.99427936255978,The Little One NYC,40.7140141557153,-73.99081873002194,Dessert Shop
Chinatown,40.71561842231432,-73.99427936255978,Matcha n’ More,40.71795450129,-73.99733357282238,Café
Chinatown,40.71561842231432,-73.99427936255978,Shanghai 21,40.714423425836316,-73.99890393018723,Shanghai Restaurant
Chinatown,40.71561842231432,-73.99427936255978,"Aqua Best Seafood, Inc",40.71784007413109,-73.99283014397935,Fish Market
Chinatown,40.71561842231432,-73.99427936255978,The Leon Hotel,40.715993699208575,-73.99517068751025,Hotel
Chinatown,40.71561842231432,-73.99427936255978,Wu's Wonton King,40.71399163703321,-73.99016885345091,Cantonese Restaurant
Chinatown,40.71561842231432,-73.99427936255978,Mei Li Wah,40.71551985009458,-73.9979727016834,Bakery
Chinatown,40.71561842231432,-73.99427936255978,Bibble & Sip,40.7180245169494,-73.99756154835737,Dessert Shop
Chinatown,40.71561842231432,-73.99427936255978,Soft Swerve Ice Cream,40.718086955112945,-73.991021414639,Ice Cream Shop
Chinatown,40.71561842231432,-73.99427936255978,Alimama,40.7158544325844,-73.99913855578315,Dessert Shop
Chinatown,40.71561842231432,-73.99427936255978,Mango Mango Dessert - Bayard St.,40.71551587230272,-73.99802376966318,Dessert Shop
Chinatown,40.71561842231432,-73.99427936255978,Clandestino,40.714639480844234,-73.99101333557718,Bar
Chinatown,40.71561842231432,-73.99427936255978,Attaboy,40.71898117410041,-73.99154017207253,Speakeasy
Washington Heights,40.85190252555305,-73.93690027985234,Green Juice Cafe,40.85189793238417,-73.93482699423339,Café
Washington Heights,40.85190252555305,-73.93690027985234,The Uptown Garrison,40.85125539385438,-73.93947295544035,Restaurant
Washington Heights,40.85190252555305,-73.93690027985234,Tampopo Ramen,40.85069287922829,-73.93656823814172,Ramen Restaurant
Washington Heights,40.85190252555305,-73.93690027985234,Jin's Superette,40.85098865024419,-73.93851430188998,Deli / Bodega
Washington Heights,40.85190252555305,-73.93690027985234,Saggio Restaurant,40.85142251681508,-73.93976122140884,Italian Restaurant
Washington Heights,40.85190252555305,-73.93690027985234,Le Chéile,40.85145903601843,-73.93998920917511,Café
Washington Heights,40.85190252555305,-73.93690027985234,Burger Heights,40.85026807331502,-73.93461812752481,Burger Joint
Washington Heights,40.85190252555305,-73.93690027985234,Forever Coffee Bar,40.85043253392718,-73.93660674414312,Coffee Shop
Washington Heights,40.85190252555305,-73.93690027985234,Highest Natural Point In Manhattan,40.852843004488385,-73.93764973534918,Park
Washington Heights,40.85190252555305,-73.93690027985234,Qmart,40.85199915943576,-73.93491489398065,Market
Washington Heights,40.85190252555305,-73.93690027985234,Cabrini Wines,40.85129218870419,-73.93971626183753,Wine Shop
Washington Heights,40.85190252555305,-73.93690027985234,Café Bark,40.851353,-73.939896,Pet Café
Washington Heights,40.85190252555305,-73.93690027985234,181st St Bakery & Deli,40.85101361568652,-73.93859158137181,Bakery
